date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:33:32	16756/16756	---M--	200	added ('OK')	image/png	etag:%224174-60740724-2b67af;;;%22	https://softek.radiantthemes.com/wp-content/uploads/2021/04/Img02.png	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/wp-content/uploads/2021/04/Img02.png	(from https://softek.radiantthemes.com/home-version-one/)
03:33:33	176/176	---M--	200	added ('OK')	image/png	etag:%22b0-60740724-2b67b2;;;%22	https://softek.radiantthemes.com/wp-content/uploads/2021/04/P-05.png	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/wp-content/uploads/2021/04/P-05.png	(from https://softek.radiantthemes.com/home-version-one/)
03:33:33	349786/349786	---M--	200	added ('OK')	image/png	etag:%225565a-60740723-2b67ab;;;%22	https://softek.radiantthemes.com/wp-content/uploads/2021/04/Img01.png	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/wp-content/uploads/2021/04/Img01.png	(from https://softek.radiantthemes.com/home-version-one/)
03:33:33	38288/38288	---M--	200	added ('OK')	image/png	etag:%229590-6000553f-2b8dea;;;%22	https://softek.radiantthemes.com/wp-content/uploads/2020/09/Img07.png	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/wp-content/uploads/2020/09/Img07.png	(from https://softek.radiantthemes.com/home-version-one/)
03:33:33	5280/5280	---M--	200	added ('OK')	image/png	etag:%2214a0-6000553f-2b8dec;;;%22	https://softek.radiantthemes.com/wp-content/uploads/2020/09/logo.png	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/wp-content/uploads/2020/09/logo.png	(from https://softek.radiantthemes.com/home-version-one/)
03:33:34	1348/1348	---M--	200	added ('OK')	image/png	etag:%22544-6000553f-2b8daf;;;%22	https://softek.radiantthemes.com/wp-content/uploads/2020/09/digi-marketing-img11.png	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/wp-content/uploads/2020/09/digi-marketing-img11.png	(from https://softek.radiantthemes.com/home-version-one/)
03:33:34	3683/3683	---M-Z	200	added ('OK')	application/x-javascript	etag:%22e63-60f7a599-1fb8d3;gz%22	https://softek.radiantthemes.com/wp-content/plugins/litespeed-cache/assets/js/instant_click.min.js	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/wp-content/plugins/litespeed-cache/assets/js/instant_click.min.js	(from https://softek.radiantthemes.com/home-version-one/)
03:33:35	1312/1312	---M--	200	added ('OK')	image/png	etag:%22520-60f7aa4b-1fccc4;;;%22	https://softek.radiantthemes.com/wp-content/plugins/instagram-feed/img/small-logo.png	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/wp-content/plugins/instagram-feed/img/small-logo.png	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/9b926.css?5821f)
03:33:37	1820923/1820923	---M-Z	200	added ('OK')	application/x-javascript	etag:%221bc8fb-61003dcc-2b5bba;gz%22	https://softek.radiantthemes.com/wp-content/litespeed/cssjs/ab194.js?6e26f	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/wp-content/litespeed/cssjs/ab1946435.js	(from https://softek.radiantthemes.com/home-version-one/)
03:33:38	1236/1236	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Jul%202021%2010:33:36%20GMT	https://softek.radiantthemes.com/wp-content/themes/softek/assets/images/icon.png	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/wp-content/themes/softek/assets/images/icon.png	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/9b926.css?5821f)
03:33:38	2794/2794	---M--	200	added ('OK')	image/png	etag:%22aea-6000553b-2789c3;;;%22	https://softek.radiantthemes.com/wp-content/themes/softek/assets/images/tick.png	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/wp-content/themes/softek/assets/images/tick.png	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/9b926.css?5821f)
03:33:38	1236/1236	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Jul%202021%2010:33:38%20GMT	https://softek.radiantthemes.com/wp-content/themes/softek/assets/css/images/single.jpg	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/wp-content/themes/softek/assets/css/images/single.jpg	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/9b926.css?5821f)
03:33:39	1236/1236	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Jul%202021%2010:33:38%20GMT	https://softek.radiantthemes.com/wp-content/themes/softek/assets/images/expand.png	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/wp-content/themes/softek/assets/images/expand.png	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/9b926.css?5821f)
03:33:39	1236/1236	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Jul%202021%2010:33:39%20GMT	https://softek.radiantthemes.com/wp-content/themes/softek/assets/preview/images/new-badge.png	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/wp-content/themes/softek/assets/preview/images/new-badge.png	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/9b926.css?5821f)
03:33:40	1766/1766	---M--	200	added ('OK')	image/png	etag:%226e6-6000553b-2789bb;;;%22	https://softek.radiantthemes.com/wp-content/themes/softek/assets/images/sub-button.png	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/wp-content/themes/softek/assets/images/sub-button.png	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/9b926.css?5821f)
03:33:40	3702/3702	---M--	200	added ('OK')	image/png	etag:%22e76-6074071c-2b66cc;;;%22	https://softek.radiantthemes.com/wp-content/uploads/2021/04/Ban03.png	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/wp-content/uploads/2021/04/Ban03.png	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/9b926.css?5821f)
03:33:41	13141/13141	---M--	200	added ('OK')	image/png	etag:%223355-6074071d-2b66d4;;;%22	https://softek.radiantthemes.com/wp-content/uploads/2021/04/Ban21.png	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/wp-content/uploads/2021/04/Ban21.png	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/9b926.css?5821f)
03:33:41	5619/5619	---M--	200	added ('OK')	image/png	etag:%2215f3-60740722-2b66fe;;;%22	https://softek.radiantthemes.com/wp-content/uploads/2021/04/19.png	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/wp-content/uploads/2021/04/19.png	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/9b926.css?5821f)
